datatype,wiki_word,qid
foggy road scene,haze,Q643546
hazy outdoor scene,haze,Q643546
haze free outdoor scene,haze,Q643546
surgical scene frame,surgery,Q40821
surgery scene,surgery,Q40821
bedroom scene,living room,Q475018
living room scene,living room,Q475018
room scene,living room,Q475018
rain scene,rain,Q7925
rain free scene,rain,Q7925
rainy street scene,rain,Q7925
synthetic urban scene,virtual world,Q444835
virtual city scene,virtual world,Q444835
360° scene,360° video,Q4011366
synthetic 360° scene,360° video,Q4011366
night scene,night scene,Q96019552
night city scene,night scene,Q96019552
over exposed scene,exposure,Q271960
under exposed scene,exposure,Q271960
mixed exposure scene,mixed exposures,Q32984844
complex exposure scene,mixed exposures,Q32984844
annotated object,annotation,Q857525
annotated entity,annotation,Q857525
annotated logo object,annotation,Q857525
annotated list,annotation,Q857525
annotated statement,annotation,Q857525
annotated passage,annotation,Q857525
annotated clause,annotation,Q857525
synthetic network,synthetic data,Q7662746
synthetic dataset,synthetic data,Q7662746
game frame,game form,Q127611783
gameplay frame,game form,Q127611783
movie frame,film frame,Q795160
cinematic frame,film frame,Q795160
film frame,film frame,Q795160
synthetic voice,speech synthesis,Q16346
synthetic utterance,speech synthesis,Q16346
synthetic music track,speech synthesis,Q16346
color frame,Color framing,Q3683600
real rgb frame,Color framing,Q3683600
polyp frame,polyp,Q657665
non polyp frame,polyp,Q657665
medical record,medical record,Q1324077
patient record,medical record,Q1324077
health record,medical record,Q1324077
medical imaging,medical imaging,Q931309
medical image analysi,medical imaging,Q931309
clinical outcome,clinical outcome,Q1340863
clinical outcome measure,clinical outcome,Q1340863
clinical response,clinical outcome,Q1340863
patient outcome,clinical outcome,Q1340863
medical ontology entity,ontology,Q324254
medical ontology relation,ontology,Q324254
medical named entity,ontology,Q324254
medical entity,ontology,Q324254
patient classification,identified patient,Q2894606
patient identifier,identified patient,Q2894606
medical term,medical terminology,Q1192539
medical terminology,medical terminology,Q1192539
medical concept,medical terminology,Q1192539
clinical trial abstract,clinical trial,Q30612
clinical trial report,clinical trial,Q30612
clinical guideline,clinical guideline,Q878041
medical guideline,clinical guideline,Q878041
clinical trial result,clinical trial,Q30612
clinical trial info,clinical trial,Q30612
health status,medical statistics,Q1252929
health statistic,medical statistics,Q1252929
health time series,medical statistics,Q1252929
summary,summary,Q776754
short summary,summary,Q776754
long summary,summary,Q776754
